id, accNo, accHolderName, fdBondNumber, fdStartDate, fdMaturityDate, depositAmount, interestRate, matured
1,5018596169594054,Donovan Hancell,3532108587810971,2021-05-15,2022-03-06,228339,5,true
2,3560380422836082,Kessia Follos,374283356973503,2021-07-12,2021-08-20,373774,8,true
3,3542876475031904,Micky Bumpas,3567267371350251,2021-06-22,2021-08-02,471242,5,true
4,6374550468243828,Tyrone Gurnett,5602221258444382,2021-07-13,2021-11-06,106609,5,true
5,633433792551201806,Carly Pomfrey,5496108399086587,2021-08-29,2021-06-23,212185,5,true
6,3537281683585022,Dagny Mathew,5010125105706958,2021-06-09,2022-04-02,392364,6,true
7,6377658183159976,Brianna Hinkens,5100145566518792,2021-05-21,2021-05-27,108897,8,true
8,3552495004224489,Basil Darter,3585099390250107,2021-08-29,2021-07-09,436568,6,true
9,4508393393531270,Angelita Dalgarnocht,5602257852242723,2021-06-04,2022-04-24,440513,7,true
10,5143677644859540,Joella Hancorn,36289400049729,2021-06-07,2021-11-10,378863,6,true
11,4508482600093347,Valentine Wiles,3547600032534902,2021-07-20,2022-01-04,287379,6,true
12,3586408074978603,Man Domoni,30003281304293,2021-06-08,2021-05-29,483399,8,true
13,30560866949834,Lelia Longworth,3566735772970159,2021-08-03,2022-02-26,213467,9,true
14,3538472887753875,Boony Eykelbosch,3534756558547515,2021-07-27,2021-05-22,211929,8,true
15,3554737100258798,Ulrick Hughs,3567998840064327,2021-07-22,2022-04-06,495032,8,true
16,3564203383024637,Jo-ann Rosetti,3569895958370496,2021-08-23,2022-05-10,380991,7,true
17,675947521413945635,Clarissa Bromley,5554821012995047,2021-06-30,2021-09-20,321924,6,true
18,3556454073581473,Yorgo Shapera,3545656982283835,2021-06-20,2021-06-18,286822,8,true
19,3580073350484639,Kacie Asche,5007660830857226,2021-07-31,2022-01-15,453772,6,true
20,3565288994442715,Patty Silbert,5002354063168627,2021-06-13,2022-03-13,244370,6,true
21,3535774089674558,Helli Dodshun,5602239311622695,2021-06-01,2021-05-10,364520,8,true
22,3532580315491144,Chelsie Craddock,3587674420064682,2021-06-23,2021-11-12,471141,7,true
23,3540772104639518,Rozanne Shildrake,63044630912939196,2021-06-16,2021-10-17,458807,6,true
24,3583509579309807,Alisha D'Costa,5602255305578288246,2021-06-23,2021-11-20,420505,8,true
25,3534931799568550,Mariana Cliffe,4017956831008343,2021-06-03,2021-10-04,459740,7,true
26,3541811232182402,Beltran Marsters,3572286407773768,2021-07-07,2021-11-12,335334,5,true
27,4041594837814438,Caye Sherer,560221908665441309,2021-07-31,2021-10-25,164428,6,true
28,3571922088883713,Brittan Chatband,5453597174819769,2021-05-08,2021-08-13,442590,7,true
29,3532967965598494,Reuben Ayers,3586553859935888,2021-05-30,2021-07-13,208895,8,true
30,3543988494753290,Antoine Jeffray,675946713790698637,2021-08-04,2021-08-03,424807,6,true
31,490338889966355382,Hildagard Brabyn,3533972180931602,2021-08-17,2021-05-29,152460,8,true
32,4405650180871449,Aurelia Malmar,3532227412201105,2021-08-18,2021-11-28,337532,8,true
33,6374299655143637,Ruthe Evetts,201463399855102,2021-05-23,2021-05-16,352101,5,true
34,560221316861643043,Early Iowarch,5602244899341825,2021-08-26,2022-05-31,154310,8,true
35,6761863380011814525,Paolina Lawerence,3586783785232015,2021-07-31,2021-10-09,141902,5,true
36,5048371300251723,Jackson Aspinell,3559960835858188,2021-07-21,2022-03-08,397558,6,true
37,3548883667114872,Allie Harg,5048379346257513,2021-08-13,2021-05-26,426717,6,true
38,3561456153617658,Rudyard Cronshaw,5191614160304420,2021-08-19,2021-10-03,136046,6,true
39,3550778089228620,Ellswerth Hurleston,3559711877037326,2021-05-28,2021-12-28,346093,8,true
40,3530329493947846,Linette Borer,6763681800865736,2021-07-08,2021-09-11,295531,6,true
41,5482007909758196,Georas Codd,30281410039069,2021-06-17,2021-08-30,195744,6,true
42,3529374958491560,Claude Taggert,5007667768521641,2021-07-11,2021-09-23,139140,5,true
43,3570452842844554,Kippar Frammingham,3547448298539763,2021-05-31,2022-02-23,459999,7,true
44,5100174776552425,Hayward Rhodef,5007660187319119,2021-05-14,2021-11-13,419317,8,true
